comment,uncertainty.level,description,variable,unit,lower,median,upper,distribution,subsystem,ranges_from_excel,version
,1,,N_content_margarine,g N / 100 gram product,0.0297,0.03,0.0303,posnorm,consumption,,unchanged
,1,,N_content_sparkling_wine,g N / 100 gram product,0.0297,0.03,0.0303,posnorm,consumption,,unchanged
,1,,P_content_butter,g P / 100 gram product,0.027,0.054,0.081,posnorm,consumption,yes,unchanged
,3,N content (% of DM) organic solid waste,N_content_ofmsw_waste,share,0.023,0.0255,0.028,tnorm_0_1,waste,yes,unchanged
,3,,P_leftover_potato,kg P / FM dt,0.018,0.02,0.022,posnorm,crop,no,unchanged
,5,from unvermeidbare nährstoffverluste,ammonia_loss_rate_fertilizer,kg ammonia / FM dt,0.015,0.02,0.025,tnorm_0_1,crop,,unchanged
,1,Corn mais 2,share_corn,share of total agricultural area,0.01881,0.019,0.01919,tnorm_0_1,crop,no,2020
,1,winter koolzaad (raps),share_oilseed_rape,share of total agricultural area,0.01683,0.017,0.01717,tnorm_0_1,crop,no,2020
,1,,K_content_potato_starch,g K / 100 gram product,0.01485,0.015,0.01515,posnorm,consumption,no,unchanged
,2,N content compost horticulture,N_content_compost_horticulture,kg N / kg DM,0.0126825,0.0119,0.0140175,tnorm_0_1,waste,no,2020
,1,calculated based on total milk,share_milk_fed_farm,share,0.01287,0.013,0.01313,tnorm_0_1,animal,no,2020
,2,N content compost consumption,N_content_compost_consumption,kg N / kg DM,0.0116375,0.0119,0.0128625,tnorm_0_1,waste,no,
,1,,P_content_citrus_fruits,g P / 100 gram product,0.01,0.016,0.022,posnorm,consumption,yes,unchanged
,1,,K_content_butter,g K / 100 gram product,0.0144,0.016,0.0176,posnorm,consumption,yes,unchanged
,2,,K_content_compost_horticulture,kg K2O/ kg DM,0.009025,0.0095,0.009975,tnorm_0_1,waste,no,2020
,1,Triticale,share_triticale,share of total agricultural area,0.00792,0.008,0.00808,tnorm_0_1,crop,no,2020
,2,,K_content_compost_consumption,kg K2O/ kg DM,0.0071725,0.0095,0.0079275,tnorm_0_1,waste,no,
,1,Fodder peas (erbsen),share_fodder_peas,share of total agricultural area,0.00594,0.006,0.00606,tnorm_0_1,crop,no,2020
,2,,P_content_compost_horticulture,kg PO4 / kg DM,0.004655,0.0049,0.005145,tnorm_0_1,waste,no,2020
,2,,P_content_compost_consumption,kg PO4 / kg DM,0.004655,0.0049,0.005145,tnorm_0_1,waste,no,
,1,,P_content_honey,g P / 100 gram product,0.004,0.012,0.02,posnorm,consumption,yes,unchanged
,1,calculated based on total milk,share_milk_direct_sale,share,0.00396,0.004,0.00404,tnorm_0_1,animal,no,2020
,3,N content (% of DM) green waste,N_content_green_waste,kg N / kg DM,0.0035,0.00555,0.0076,tnorm_0_1,waste,yes,unchanged
,1,Summer wheat (weizen),share_summer_wheat,share of total agricultural area,0.00297,0.003,0.00303,tnorm_0_1,crop,no,2020
,1,Rye (rogge),share_rye,share of total agricultural area,0.00297,0.003,0.00303,tnorm_0_1,crop,no,2020
,1,Summer barley,share_summer_barley,share of total agricultural area,0.00297,0.003,0.00303,tnorm_0_1,crop,no,2020
,1,Beans (ackerbohnen),share_beans,share of total agricultural area,0.00297,0.003,0.00303,tnorm_0_1,crop,no,2020
,3,,P_content_ofmsw_waste,kg P / kg DM,0.002,0.0035,0.005,tnorm_0_1,waste,yes,unchanged
,1,Common oat (hafer),share_oat,share of total agricultural area,0.00198,0.002,0.00202,tnorm_0_1,crop,no,2020
,3,,K_content_ofmsw_waste,kg K / kg DM,9.00E-03,0.01,0.011,tnorm_0_1,waste,yes,unchanged
,1,,P_content_potato_starch,g P / 100 gram product,0.00061,0.00416,0.0077,posnorm,consumption,yes,unchanged
,3,,P_content_green_waste,kg P / kg DM,6.00E-04,0.00115,0.0017,tnorm_0_1,waste,yes,unchanged
,3,,K_content_green_waste,kg K / kg DM,0.0053,0.0097,0.014,tnorm_0_1,waste,yes,unchanged
,1,,K_content_sugar,g K / 100 gram product,6.00E-05,0.00303,0.006,posnorm,consumption,yes,unchanged
,1,,P_content_sugar,g P / 100 gram product,5.00E-05,0.00028,5.00E-04,posnorm,consumption,yes,unchanged
,1,Mais silage,N_leftover_mais_silage,kg N / FM dt,0,0,0,const,crop,no,unchanged
,3,,P_leftover_mais_silage,kg P / FM dt,0,0,0,const,crop,no,unchanged
,3,,K_leftover_mais_silage,kg K / FM dt,0,0,0,const,crop,no,unchanged
,4,Winter wheat,winter_wheat_to_animal,,0,0,0,const,crop,no,unchanged
,4,Summer wheat,summer_wheat_to_animal,,0,0,0,const,crop,no,unchanged
,4,Corn,corn_to_animal,,0,0,0,const,crop,no,unchanged
,4,Rye,rye_to_consumption,,0,0,0,const,crop,no,unchanged
,4,Winter barley,winter_barley_to_consumption,,0,0,0,const,crop,no,unchanged
,4,Triticale,triticale_to_consumption,,0,0,0,const,crop,no,unchanged
,4,Fodder peas,fodder_peas_to_consumption,,0,0,0,const,crop,no,unchanged
,4,Beans,beans_to_consumption,,0,0,0,const,crop,no,unchanged
,4,Mais silage,mais_silage_to_consumption,,0,0,0,const,crop,no,unchanged
,1,,P_content_arugula_gr_100gr,mg P / 100 g product,0,0,0,const,crop,no,unchanged
,1,green_bean,N_content_green_bean_gr_100gr,g N / 100 gram product,0,0,0,const,crop,no,unchanged
,1,,P_content_green_bean_gr_100gr,mg P / 100 g product,0,0,0,const,crop,no,unchanged
,1,,K_content_green_bean_gr_100gr,mg K / 100 g product,0,0,0,const,crop,no,unchanged
,1,,import_inorganic_P2O5_kg_LF,kg per LF,8.73,9.7,10.67,posnorm,crop,yes,2020
,3,"ranges calculated from 2017 K:N, K:P and with 2020 reports on N and P",import_organic_K_kg,kg K import,4868100,5409000,5949900,posnorm,crop,,
,3,"calculated range using the rate of K:N, K:N of 2017 and exports of N, P",export_other_organic_K_kg,kg export / FM dt,1611000,1790000,1969000,posnorm,crop,,2020
,3,,n_slaughter_lamb,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_oxes,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_bulls,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_female_cattle,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_younstock_youngage,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_younstock_midage,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_poultry,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_lamb,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_sheep,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_goat,individuals,0,0,0,const,animal,no,2020
,3,,n_slaughter_import_horse,individuals,0,0,0,const,animal,no,2020
,4,,P_housing_losses,switch,0,0,0,const,animal,,
,4,,K_housing_losses,switch,0,0,0,const,animal,,
,1,,N_content_sugar,g N / 100 gram product,0,0,0,const,consumption,,unchanged
,1,,P_content_dried_fruit,g P / 100 gram product,0,0,0,const,consumption,yes,unchanged
,1,,P_content_margarine,g P / 100 gram product,0,0,0,const,consumption,yes,unchanged
,1,,P_content_sparkling_wine,g P / 100 gram product,0,0,0,const,consumption,yes,unchanged
,1,,K_content_dried_fruit,g K / 100 gram product,0,0,0,const,consumption,yes,unchanged
,1,,K_content_margarine,g K / 100 gram product,0,0,0,const,consumption,yes,unchanged
,3,digestate P content,digestate_P_content,kg P2O5 per t fresh matter,3.15,3.5,3.85,posnorm,waste,,
,3,digestate K content,digestate_K_content,kg K2O per t fresh matter,3.78,4.2,4.62,posnorm,waste,,
I guess these scenario specific variables can all be categorized under level 5 uncertainty level (modelled).,5,amount of K2O for one N manure; taken from https://ag.umass.edu/crops-dairy-livestock-equine/fact-sheets/plant-nutrients-from-manure,manure_N_to_KtwoO_dairy,share,0.669642857,0.892857143,1.116071429,posnorm,animal,,
,5,amount of K2O for one N manure; taken from https://ag.umass.edu/crops-dairy-livestock-equine/fact-sheets/plant-nutrients-from-manure,manure_N_to_KtwoO_calf,share,0.75,1,1.25,posnorm,animal,,
,5,amount of K2O for one N manure; taken from https://ag.umass.edu/crops-dairy-livestock-equine/fact-sheets/plant-nutrients-from-manure,manure_N_to_KtwoO_bull,share,0.428571428,0.571428571,0.714285714,posnorm,animal,,
,5,amount of K2O for one N manure; taken from https://ag.umass.edu/crops-dairy-livestock-equine/fact-sheets/plant-nutrients-from-manure,manure_N_to_KtwoO_pig,share,0.375,0.5,0.625,posnorm,animal,,
,5,amount of K2O for one N manure; taken from https://ag.umass.edu/crops-dairy-livestock-equine/fact-sheets/plant-nutrients-from-manure,manure_N_to_KtwoO_horse,share,0.5625,0.75,0.9375,posnorm,animal,,
,5,amount of K2O for one N manure; taken from https://ag.umass.edu/crops-dairy-livestock-equine/fact-sheets/plant-nutrients-from-manure,manure_N_to_KtwoO_sheep,share,0.652173913,0.869565217,1.086956521,posnorm,animal,,
,5,"amount of K2O for one N manure; taken from: Chastain, Camberato and Skewes: Poultry Manure Production and Nutrient Content",manure_N_to_KtwoO_chicken,share,0.6,0.8,1,posnorm,animal,,
,5,"amount of K2O for one N manure; taken from: Chastain, Camberato and Skewes: Poultry Manure Production and Nutrient Content",manure_N_to_KtwoO_turkey,share,0.46125,0.615,0.76875,posnorm,animal,,
,5,kg of inorganic N needed for the same fertiliztation effect of 1kg manure N,convert_manure_to_inorganic_N,conversion rate,0.8,0.85,0.9,posnorm,crop,,cite Bernou
,5,kg of inorganic P needed for the same fertiliztation effect of 1kg manure N,convert_manure_to_inorganic_P,conversion rate,0.8,0.85,0.9,posnorm,crop,,cite Bernou
,5,kg of inorganic K needed for the same fertiliztation effect of 1kg manure N,convert_manure_to_inorganic_K,conversion rate,0.8,0.85,0.9,posnorm,crop,,cite Bernou
,5,share of produced crops allocated to biogas in a local feed scenario,scenario_allocate_crop_biogas_a,share,0.035,0.1675,0.3115,tnorm_0_1,crop,,"survey stakeholders, took 5% and 95% quantiles"
,5,overall reduction of livestock units in local feed scenario,scenario_overall_livestock_reduction_a,share,0.072,,0.5325,tnorm_0_1,animal,,"survey stakeholders, took 5% and 95% quantiles"
,5,share of cattle livestock units in local feed scenario,scenario_share_cattle_a,share,0.584,,0.689,tnorm_0_1,animal,,"survey stakeholders, took 5% and 95% quantiles"
,5,share of pig livestock units in local feed scenario,scenario_share_pig_a,share,0.187,,0.28,tnorm_0_1,animal,,"survey stakeholders, took 5% and 95% quantiles"
,5,share of poultry livestock units in local feed scenario,scenario_share_poultry_a,share,0.014,,0.125,tnorm_0_1,animal,,"survey stakeholders, took 5% and 95% quantiles"
,5,share of other animals livestock units in local feed scenario,scenario_share_others_a,share,0.04,,0.08,tnorm_0_1,animal,,"survey stakeholders, took 5% and 95% quantiles"
,1,,n_dairy_cow_1962,,40866.21,41279,41691.79,posnorm,animal,,
,1,,n_other_cattle_1962,,54707.4,55260,55812.6,posnorm,animal,,
,1,,n_pig_1962,,130800.78,132122,133443.22,posnorm,animal,,
,1,,n_chicken_1962,,438565.05,442995,447424.95,posnorm,animal,,
,1,,n_other_poultry_1962,,14456.97,14603,14749.03,posnorm,animal,,
,1,,n_sheep_1962,,1797.84,1816,1834.16,posnorm,animal,,
,,,rf_meat_consumption_1962,,0.2,,0.3,tnorm_0_1,,,still need proper input
,,,rf_dairy_egg_consumption_1962,,0.15,,0.25,tnorm_0_1,,,still need proper input
,,,rf_plant_based_consumption_1962,,0.3,,0.35,tnorm_0_1,,,still need proper input
,,parameters for skewed distribution,omega_manure_export,,20.904732,,20.904732,const,,,
,,parameters for skewed distribution,alpha_manure_export,,1.920745,,1.920745,const,,,
,,parameters for skewed distribution,xi_manure_export,,7.427658,,7.427658,const,,,
,,parameters for skewed distribution,omega_manure_biogas,,17.3269346,,17.3269346,const,,,
,,parameters for skewed distribution,alpha_manure_biogas,,-0.00096166,,-0.00096166,const,,,
,,parameters for skewed distribution,xi_manure_biogas,,25.01329484,,25.01329484,const,,,
,,parameters for skewed distribution,omega_manure_crop,,33.30255,,33.30255,const,,,
,,parameters for skewed distribution,alpha_manure_crop,,-1.72968,,-1.72968,const,,,
,,parameters for skewed distribution,xi_manure_crop,,75.67045,,75.67045,const,,,
,,parameters for skewed distribution,omega_crop_feed,,29.89185,,29.89185,const,,,
,,parameters for skewed distribution,alpha_crop_feed,,-34.90768,,-34.90768,const,,,
,,parameters for skewed distribution,xi_crop_feed,,84.45158,,84.45158,const,,,
,,parameters for skewed distribution,omega_crop_food,,24.782757,,24.782757,const,,,
,,parameters for skewed distribution,alpha_crop_food,,34.907637,,34.907637,const,,,
,,parameters for skewed distribution,xi_crop_food,,2.067663,,2.067663,const,,,
,,newly added,export_manure_K_kg,,4414650,4647000,4879350,posnorm,animal,,
